CustomerID,Recency,Frequency,Monetary_Value,Quantity_Avg,Quantity_Total,AOV,90P_Days_Between_Purchase,50P_Days_Between_Purchase,Churn_Risk
12347,31,6,4005.29,12.128654970760234,2074,667.5483333333333,80.0,58.0,low
12348,67,4,826.04,42.51851851851852,1148,206.51,142.10000000000002,54.5,medium
12352,28,7,1371.8899999999996,6.8311688311688314,526,195.98428571428568,93.40000000000005,13.0,medium
12356,14,3,2478.7300000000014,23.603448275862068,1369,826.2433333333338,193.60000000000002,80.0,low
12359,49,4,5362.430000000006,6.540322580645161,1622,1340.6075000000014,126.9,70.5,low
12360,44,3,2231.26,9.174603174603174,1156,743.7533333333334,82.4,60.0,low
12362,27,9,4175.4900000000025,8.71806167400881,1979,463.9433333333336,69.2,14.0,medium
12364,32,3,868.1400000000001,15.745454545454546,866,289.38000000000005,36.4,34.0,low
12370,43,4,3216.2499999999977,10.879518072289157,1806,804.0624999999994,181.00000000000003,42.5,medium
12372,63,3,1196.04,16.081632653061224,788,398.68,129.4,83.0,low
12375,2,2,377.5000000000001,11.733333333333333,176,188.75000000000006,78.3,43.5,low
12377,307,2,1500.6799999999998,12.394736842105264,942,750.3399999999999,35.1,19.5,high
12379,73,2,796.4399999999997,10.578947368421053,402,398.21999999999986,79.2,44.0,medium
12380,13,4,2421.6899999999996,11.1,1110,605.4224999999999,85.10000000000002,27.5,low
12381,25,2,1369.2000000000003,9.289473684210526,706,684.6000000000001,77.4,43.0,low
12383,176,5,1601.6499999999992,14.574468085106384,1370,320.3299999999998,57.2,32.0,high
12384,20,2,423.21999999999997,4.88,122,211.60999999999999,82.8,46.0,low
12386,329,2,341.46000000000004,23.8,238,170.73000000000002,26.1,14.5,high
12388,7,6,2757.2000000000003,13.64,1364,459.53333333333336,99.0,45.0,low
12393,64,4,1636.4,12.75,816,409.1,146.0,43.0,medium
12394,55,2,784.1600000000001,15.68,392,392.08000000000004,137.70000000000002,76.5,low
12395,11,12,2561.059999999999,12.340277777777779,1777,213.4216666666666,49.0,37.5,low
12397,27,2,2177.45,10.080645161290322,1250,1088.725,89.10000000000001,49.5,low
12399,111,4,994.65,20.236363636363638,1113,248.6625,59.2,39.0,high
12406,13,2,3351.960000000001,16.81904761904762,1766,1675.9800000000005,144.9,80.5,low
12407,41,5,1374.36,15.875,1143,274.87199999999996,81.6,28.0,medium
12408,24,5,2596.29,13.455445544554456,1359,519.258,80.8,66.0,low
12409,70,3,10123.869999999999,34.8348623853211,3797,3374.623333333333,82.4,0.0,medium
12410,300,2,532.8299999999999,8.28,207,266.41499999999996,0.0,0.0,high
12412,66,3,1144.8799999999999,14.206896551724139,824,381.6266666666666,55.8,31.0,high
12413,58,3,669.95,7.833333333333333,282,223.3166666666667,155.2,100.0,low
12414,209,3,445.29,19.8,297,148.43,67.6,10.0,high
12415,16,20,68817.90999999992,39.9929873772791,28515,3440.895499999996,33.4,11.0,medium
12417,31,8,2788.320000000001,8.237804878048781,1351,348.54000000000013,62.1,38.0,low
12421,7,4,626.0700000000003,11.658536585365853,478,156.51750000000007,130.9,78.0,low
12422,87,3,685.0099999999998,9.657894736842104,367,228.3366666666666,139.2,72.0,medium
